SDGi,Life Exectancy,HDI,Per Capita GDP,Population (millions),Built up land,Cropland,Grazing land,Forest land,Fishing ground,Built up land.1,Total biocapacity ,Ecological (Deficit) or Reserve,,,,,Total Ecological Footprint (Consumption),,,,,Average total ecological Footprint
73.5,83,0.92,43000,8.9,0.1,0.1,0,0.023786869,0.013742928,0.059185502,0.242110623,-3.918772643,,,,,4.2,,,,,
78.3,83,0.9,43010,60.3,0.1,0.4,0.1,0.340885413,0.065779728,0.091234352,0.971138877,-2.980056989,,,,,4,,,,,
69,71,0.71,10109,3,0.1,0.2,0,0.174209502,0.112810554,0.069636626,0.554318453,-1.186022004,,,,,1.7,,,,,
79.6,84,0.93,41809,125.6,0.1,0.1,0,0.348004225,0.103747578,0.077815615,0.630109766,-3.414165762,,,,,4,,,,,
69.4,74,0.72,10159,10.3,0.1,0.1,0,0.015913501,0.001769296,0.104159286,0.214335249,-1.089517919,,,,,1.3,,,,,
71.1,70,0.81,26125,19.2,0,1.9,1.6,0.20376223,0.04793581,0.025323045,3.82386996,-0.470322658,,,,,4.3,,,,,
61,61,0.58,5192,56.2,0,0.2,0.2,0.011073712,0.015018315,0.045167026,0.462795906,-0.418506561,,,,,0.9,,,,,
77.9,84,0.93,45438,51.3,0.1,0.1,0,0.087249585,0.383578197,0.07026965,0.64688681,-5.174542893,,,,,5.8,,,,,
64.5,79,0.83,43613,4.4,0.5,0,0,0.002696897,0.285763528,0.48770005,0.807349671,-7.743805155,,,,,8.6,,,,,
73.7,72,0.69,4764,6.7,0.1,0.5,0.5,0.098421885,0.04534529,0.073230364,1.25343204,-0.256931902,,,,,1.5,,,,,
63.4,68,0.61,7866,7.5,0.2,0.7,0.1,0.609881989,0.029401418,0.195268964,1.641909183,-0.217734454,,,,,1.9,,,,,
80.3,73,0.86,31973,1.8,0.1,2.8,0.2,4.551672552,2.196984142,0.102247668,9.930483467,2.205903606,,,,,7.7,,,,,
55.1,53,0.51,2599,2.2,0.084210526,0.510526316,0.402631579,1.523629045,0.431969984,0.088023006,0.723708258,-0.427347297,,,,,1.2,,,,,
49.9,61,0.48,1524,5.3,0,0.1,0.3,1.991241595,0.256777493,0.039727176,2.731745972,1.489184417,,,,,1.2,,,,,
75.4,74,0.88,39810,2.7,0.2,2.8,0.3,2.283057719,0.349368846,0.163432462,5.967089276,-0.461161462,,,,,6.4,,,,,
75.7,83,0.93,120505,0.6,0.1,0.4,0.1,0.657103758,0.000885374,0.067119396,1.228958605,-9.73044912,,,,,11,,,,,
50.1,64,0.5,1523,29.2,0.1,0.2,1,0.580164786,0.162087995,0.063442166,1.978753711,1.184725168,,,,,0.8,,,,,
53.3,63,0.51,1373,20.2,0.1,0.4,0.1,0.012361597,0.043757689,0.088266461,0.576487738,-0.147794125,,,,,0.7,,,,,
70.4,75,0.8,28180,33.2,0.1,0.7,0,0.530150447,0.732839346,0.128678809,2.062303764,-2.18007516,,,,,4.2,,,,,
54.1,59,0.43,2206,21.5,0.1,0.4,0.5,0.433902546,0.032660782,0.052643001,1.368689788,0.367915862,,,,,1,,,,,
76.8,83,0.92,46806,0.4,0.084210526,0.510526316,0.402631579,1.523629045,0.431969984,0.088023006,0.467363732,-3.254616382,,,,,3.7,,,,,
55.8,64,0.56,5927,4.9,0,0.1,2.4,0.049552859,1.116999731,0.029604019,3.653577326,1.397169821,,,,,2.3,,,,,
68.4,74,0.8,21450,1.3,0.084210526,0.510526316,0.402631579,1.523629045,0.431969984,0.088023006,0.675477406,-1.928109761,,,,,2.6,,,,,
70.2,70,0.76,19028,131.6,0.1,0.3,0.2,0.427634638,0.132918606,0.082561173,1.202798995,-1.082430614,,,,,2.3,,,,,
63.5,71,0.74,11435,3.4,0,0.4,6.8,6.197277782,0.074457563,0.015806037,13.51424822,5.80652981,,,,,7.7,,,,,
68.8,74,0.83,21308,0.6,0.3,0,0.3,1.925736937,0.248617634,0.27905659,2.828793864,-0.821806374,,,,,3.7,,,,,
69,74,0.68,7744,37.8,0,0.2,0.2,0.084511722,0.065308994,0.031137202,0.565398289,-0.979869888,,,,,1.5,,,,,
53.6,59,0.45,1232,33.1,0,0.2,0.6,0.433448963,0.12872671,0.047797027,1.385576072,0.614345946,,,,,0.8,,,,,
64.3,66,0.59,4090,55.2,0.1,0.5,0,0.499646595,0.281436417,0.057071596,1.362234437,0.248014203,,,,,1.1,,,,,
62.7,59,0.62,8949,2.6,0,0.1,1.4,0.289487076,4.240215963,0.018877714,6.122942025,3.737652781,,,,,2.4,,,,,
66.2,68,0.6,3921,30.2,0.1,0.2,0,0.086229445,0.004625979,0.100555424,0.390028925,-0.51042717,,,,,0.9,,,,,
79.9,81,0.94,58732,17.2,0.084210526,0.510526316,0.402631579,1.523629045,0.431969984,0.088023006,1.113508517,-4.908468884,,,,,6,,,,,
78.3,82,0.94,43178,4.9,0.084210526,0.510526316,0.402631579,1.523629045,0.431969984,0.088023006,8.447231686,3.021001811,,,,,5.4,,,,,
67.1,74,0.67,6056,6.8,0.1,0.6,0.5,0.696956617,0.426086185,0.09010544,2.310417773,0.816845391,,,,,1.5,,,,,
52.2,62,0.4,1229,26.1,0,0.7,0.3,0.030725086,0.000422347,0.013122162,1.074301895,-0.276005627,,,,,1.4,,,,,
54.2,53,0.54,5013,216.7,0,0.3,0.1,0.033039166,0.01450929,0.047224406,0.446354238,-0.354981077,,,,,0.8,,,,,
82.3,83,0.96,66643,5.5,0.1,0.2,0.1,3.439090343,2.879183276,0.1350639,6.747554557,1.348820882,,,,,5.4,,,,,
69.2,73,0.82,30222,5.3,0.5,0.1,0,0.001006289,1.181415343,0.51744752,1.801254966,-5.480212207,,,,,7.3,,,,,
59.3,66,0.54,5542,229.5,0,0.3,0,0.016762376,0.027482753,0.044070495,0.361549059,-0.368417693,,,,,0.7,,,,,
64,76,0.81,30907,4.4,0.1,0.3,0.4,1.323250976,0.528577331,0.081230734,2.627580918,0.307799378,,,,,2.3,,,,,
53.6,65,0.56,3682,9.3,0.2,0.2,0,1.954178013,0.519162506,0.169813039,2.900181196,1.745338463,,,,,1.2,,,,,
67.4,70,0.72,12359,7.3,0.1,1.9,2.3,5.336883702,0.051431432,0.109623515,9.647940739,6.497611479,,,,,3.2,,,,,
71.9,72,0.76,12878,33.7,0.1,0.5,0.5,2.351926112,0.180927444,0.094338937,3.546836383,1.3089486,,,,,2.2,,,,,
66.6,69,0.7,8768,112.5,0.1,0.2,0,0.071795096,0.057197699,0.067062712,0.402745802,-0.77663592,,,,,1.2,,,,,
80.5,76,0.88,35703,37.7,0.1,1,0.1,0.684798759,0.105937226,0.123989819,2.016241672,-2.632431214,,,,,4.6,,,,,
79.2,81,0.87,34950,10.1,0.1,0.3,0.2,0.835073402,0.075106238,0.062307541,1.478047303,-2.241348574,,,,,3.7,,,,,
66.8,79,0.86,96605,3,0.1,0,0,0,0.902741632,0.116206201,1.03899563,-12.08733856,,,,,13.1,,,,,
73.9,69,0.77,14320,4,0.084210526,0.510526316,0.402631579,1.523629045,0.431969984,0.088023006,1.009467663,-0.512739072,,,,,1.5,,,,,
72.3,75,0.77,16896,2.1,0,0.5,0.3,0.698503606,0.008635438,0.04398368,1.55133585,-1.262256192,,,,,2.8,,,,,
77.7,73,0.82,31367,19,0.1,0.9,0.2,1.078524771,0.101551682,0.103657575,2.450628155,-0.287037123,,,,,2.7,,,,,
74.1,69,0.82,25706,145.8,0,1.9,0.3,4.210828797,1.187785838,0.026224688,7.712083888,1.910912299,,,,,5.8,,,,,
59.4,66,0.53,2405,13.6,0,0.2,0,0.00673208,0.00447253,0.038914646,0.243488781,-0.31054098,,,,,0.6,,,,,
0,73,0.71,5084,0.2,0.084210526,0.510526316,0.402631579,1.523629045,0.431969984,0.088023006,1.662282108,-0.82147034,,,,,2.5,,,,,
59.4,68,0.62,4010,0.2,0.084210526,0.510526316,0.402631579,1.523629045,0.431969984,0.088023006,0.700090513,-0.351779258,,,,,1.1,,,,,
66.6,77,0.88,47423,35.8,0,0.4,0.1,0.049429421,0.140564155,0.043026058,0.697532479,-5.047947389,,,,,5.7,,,,,
58.7,67,0.51,3505,17.7,0,0.3,0.1,0.345240162,0.137812508,0.044698919,1.000162642,-0.219361335,,,,,1.2,,,,,
75.9,73,0.8,20474,8.7,0.1,1.3,0,0.550451908,0.004598381,0.111434224,2.054991936,-1.775586759,,,,,3.8,,,,,
53,60,0.48,1677,8.3,0,0.4,0.2,0.114758269,0.157742667,0.033035202,0.921573084,-0.124702882,,,,,1,,,,,
71.7,83,0.94,112699,5.9,0.1,0,0,0.002074859,0.012136597,0.089583924,0.104126803,-5.633904237,,,,,5.7,,,,,
78.7,75,0.85,33079,5.5,0.1,0.9,0.1,1.526890059,0.006210991,0.117204922,2.665671799,-1.493307176,,,,,4.2,,,,,
0,70,0.56,2043,0.7,0.084210526,0.510526316,0.402631579,1.523629045,0.431969984,0.088023006,3.324442199,1.65949821,,,,,1.7,,,,,
